id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,probabilidad_salida,prioridad,origen_refuerzo,tags,validado,criterio_depuracion
500001,Aplicaciones Móviles Android,,Android,IDE,Básico,Definición directa,"¿Qué concepto corresponde a esta definición: “Entorno oficial para crear, probar y compilar aplicaciones Android.”?",Gson,Android Studio,POST,for,Gradle,B,Android Studio,Es el IDE oficial usado para desarrollar aplicaciones Android.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, IDE, Android Studio",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500002,Aplicaciones Móviles Android,,Android,Emulador,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Dispositivo virtual usado para probar una app sin un celular físico.”?,Permisos Android,switch,Retrofit,Gson,Emulador Android,E,Emulador Android,Permite ejecutar y probar aplicaciones en una máquina virtual.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Emulador, Emulador Android",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500003,Aplicaciones Móviles Android,,Android,Compilación,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Herramienta que compila el proyecto y administra dependencias.”?,Gradle,Layout,if,AndroidManifest.xml,Emulador Android,A,Gradle,"Gradle automatiza compilación, dependencias y construcción del APK/AAB.",PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Compilación, Gradle",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500004,Aplicaciones Móviles Android,,Android,Estructura,Básico,Definición directa,"¿Qué concepto corresponde a esta definición: “Archivo donde se declaran permisos, Activities y configuración principal de la app.”?",JSON,OkHttp,AndroidManifest.xml,PUT,SELECT,C,AndroidManifest.xml,El manifiesto define componentes y permisos de la aplicación.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Estructura, AndroidManifest.xml",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500005,Aplicaciones Móviles Android,,Java,Texto,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Tipo de dato usado para almacenar cadenas de texto.”?,LiveData,Android Studio,String,Moshi,Material Design,C,String,String representa texto en Java.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Texto, String",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500006,Aplicaciones Móviles Android,,Java,Lógico,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Tipo de dato que solo puede ser verdadero o falso.”?,boolean,Layout,Moshi,Método,strings.xml,A,boolean,boolean almacena valores true o false.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Lógico, boolean",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500007,Aplicaciones Móviles Android,,Java,Condicional,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Estructura que ejecuta instrucciones si se cumple una condición.”?,API REST,onStart,if,switch,Caché,C,if,if permite tomar decisiones según una condición.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Condicional, if",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500008,Aplicaciones Móviles Android,,Java,Selección,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Estructura que permite elegir entre varios casos posibles.”?,switch,for,onPause,Intent,SELECT,A,switch,switch evalúa un valor y ejecuta un caso.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Selección, switch",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500009,Aplicaciones Móviles Android,,Java,Repetición,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Estructura usada para repetir instrucciones un número conocido de veces.”?,JSON,for,String,View,UPDATE,B,for,for se usa para ciclos con contador.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Repetición, for",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500010,Aplicaciones Móviles Android,,Java,Repetición,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Estructura que repite instrucciones mientras una condición sea verdadera.”?,Caché,while,XML,Material Design,if,B,while,while repite mientras la condición se cumpla.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Repetición, while",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500011,Aplicaciones Móviles Android,,Java,Métodos,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Bloque reutilizable de código que puede recibir parámetros y devolver un resultado.”?,onResume,Layout,Método,Activity,onStart,C,Método,Un método agrupa instrucciones reutilizables.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Métodos, Método",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
500012,Aplicaciones Móviles Android,,UI,Pantalla,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Componente que representa una pantalla completa de una app Android.”?,LinearLayout,SELECT,Parsing JSON,Activity,Método,D,Activity,Una Activity representa una pantalla de interacción.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, UI, Pantalla, Activity",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
