id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,probabilidad_salida,prioridad,origen_refuerzo,tags,validado,criterio_depuracion
900016,Aplicaciones Móviles Android,,API REST Android,Response,Básico,Pregunta probable de examen,"En Retrofit, ¿qué clase representa la respuesta recibida desde una API?",Emulador Android,Button,TabLayout,Almacenamiento interno,Response,E,Response,"Response permite revisar código HTTP, estado de éxito y cuerpo de la respuesta.",Preguntas probables aportadas + PIAD SENATI,Muy alta,Alta,Agregado por coincidencia con exámenes probables; sin repetir conceptos existentes,"Aplicaciones Móviles Android, API REST Android, Response, Response",SI,Agregado solo si no repetía un concepto/respuesta ya presente en el módulo.
900017,Aplicaciones Móviles Android,,API REST Android,Service,Básico,Pregunta probable de examen,"En Retrofit, ¿qué componente define las llamadas o endpoints de la API?",Interfaz Service,onCreate,Gson,SharedPreferences,ViewPager,A,Interfaz Service,"La interfaz Service declara métodos anotados como @GET, @POST, @PUT o @DELETE.",Preguntas probables aportadas + PIAD SENATI,Muy alta,Alta,Agregado por coincidencia con exámenes probables; sin repetir conceptos existentes,"Aplicaciones Móviles Android, API REST Android, Service, Interfaz Service",SI,Agregado solo si no repetía un concepto/respuesta ya presente en el módulo.
600055,Aplicaciones Móviles Android,,Almacenamiento,Archivos,Intermedio,Repaso conceptual,"Repaso: en Almacenamiento, ¿qué opción se asocia con archivos?",onCreate,Almacenamiento interno,ImageView,LiveData,CRUD,B,Almacenamiento interno,El almacenamiento interno guarda archivos privados de la app.,PIAD SENATI + temario validado,Media,Media,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Almacenamiento, Archivos, Almacenamiento interno",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
600003,Aplicaciones Móviles Android,,Android,Compilación,Básico,Identificación,"Para reforzar Android, identifica la opción correcta sobre compilación.",onResume,Gradle,Parsing JSON,Activity,Button,B,Gradle,"Gradle automatiza compilación, dependencias y construcción del APK/AAB.",PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Compilación, Gradle",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
600002,Aplicaciones Móviles Android,,Android,Emulador,Básico,Función o uso,¿Qué concepto se usa para dispositivo virtual usado para probar una app sin un celular físico?,if,CRUD,Gson,Emulador Android,Layout,D,Emulador Android,Permite ejecutar y probar aplicaciones en una máquina virtual.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Emulador, Emulador Android",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
600004,Aplicaciones Móviles Android,,Android,Estructura,Básico,Aplicación directa,"Para una tarea de Android, ¿qué opción describe mejor archivo donde se declaran permisos, Activities y configuración principal de la app?",AndroidManifest.xml,String,Moshi,GET,Activity,A,AndroidManifest.xml,El manifiesto define componentes y permisos de la aplicación.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Estructura, AndroidManifest.xml",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
600001,Aplicaciones Móviles Android,,Android,IDE,Básico,Caso breve,"En una app Android, necesitas entorno oficial para crear, probar y compilar aplicaciones Android. ¿Qué opción corresponde?",Método,UPDATE,Android Studio,Material Design,DELETE HTTP,C,Android Studio,Es el IDE oficial usado para desarrollar aplicaciones Android.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, IDE, Android Studio",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
600054,Aplicaciones Móviles Android,,Arquitectura,Estado,Intermedio,Aplicación directa,¿Qué componente se usa para componente que conserva datos de la interfaz ante cambios de configuración?,SharedPreferences,XML,ViewModel,String,onCreate,C,ViewModel,ViewModel gestiona datos relacionados con la UI.,PIAD SENATI + temario validado,Media,Media,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Arquitectura, Estado, ViewModel",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
600053,Aplicaciones Móviles Android,,Arquitectura,Observación,Intermedio,Identificación,"En una app Android, necesitas componente que permite observar cambios de datos. ¿Qué opción corresponde?",LiveData,onResume,Material Design,Toast,Gradle,A,LiveData,LiveData notifica cambios a la interfaz.,PIAD SENATI + temario validado,Media,Media,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Arquitectura, Observación, LiveData",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
600028,Aplicaciones Móviles Android,,Ciclo de vida,Destrucción,Básico,Identificación,¿Qué concepto se usa para método llamado antes de destruir una Activity?,Parsing JSON,RelativeLayout,Caché,LinearLayout,onDestroy,E,onDestroy,onDestroy libera recursos finales.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Destrucción, onDestroy",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
