id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,fuente_url,tags,probabilidad_salida,prioridad,origen_refuerzo
268,Diseño y Desarrollo de Aplicaciones Móviles,2,Ciclo de vida Activity,onResume,Intermedio,Definición,¿Cuál es la respuesta correcta si se busca identificar: onresume?,Formato usado frecuentemente para guardar modelos Keras en entornos Python.,Archivo JSON que describe la arquitectura y referencias de pesos de un modelo TensorFlow.js.,"Framework web ligero para crear servidores, rutas y APIs con Node.js.","Instrumento para medir magnitudes eléctricas como voltaje, corriente y resistencia.",Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario.,E,Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario.,La respuesta correcta es Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/guide/components/activities/activity-lifecycle,"android,lifecycle",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
537,Diseño y Desarrollo de Aplicaciones Móviles,3,SQLite y CRUD,Update,Básico,Reconocimiento,"Si estás resolviendo un test de opción múltiple y la pista es «Update», ¿cuál eliges?",Librería para manejar rutas y navegación en aplicaciones React.,Protocolo de aplicación usado para transferir recursos en la web mediante solicitudes y respuestas.,Create,Operación CRUD que modifica datos existentes.,Placa con sensores integrados usada en proyectos TinyML.,D,Operación CRUD que modifica datos existentes.,La pista apunta a Operación CRUD que modifica datos existentes..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/training/data-storage/room,crud,5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
453,Diseño y Desarrollo de Aplicaciones Móviles,3,SQLite y CRUD,Create,Intermedio,Reconocimiento,Relaciona el concepto con su función: Create,Delete,Función de Arduino para configurar un pin como entrada o salida.,Operación CRUD que inserta o registra nuevos datos.,Push,Método HTTP usado para eliminar un recurso.,C,Operación CRUD que inserta o registra nuevos datos.,La relación correcta es con Operación CRUD que inserta o registra nuevos datos..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/training/data-storage/room,crud,5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
70,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Fragment,Básico,Completar,¿Cuál opción NO debe confundirse con otros términos cuando la pregunta describe: fragment?,Protocolo ligero de mensajería publish/subscribe usado frecuentemente en IoT.,NodeMCU,Parte reutilizable de la interfaz o comportamiento dentro de una Activity.,API REST,Librería usada para validar esquemas de datos y formularios.,C,Parte reutilizable de la interfaz o comportamiento dentro de una Activity.,No debe confundirse: la descripción apunta a Parte reutilizable de la interfaz o comportamiento dentro de una Activity..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,fragment",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
523,Diseño y Desarrollo de Aplicaciones Móviles,3,SQLite y CRUD,Update,Básico,Reconocimiento,"Complete la frase: En SQLite y CRUD, ______ se relaciona con update",Operación CRUD que modifica datos existentes.,Create,Registro de cambios guardado en el historial de Git.,Librería de Python usada para crear gráficos y visualizar datos.,Tipo de ML que entrena modelos con datos etiquetados.,A,Operación CRUD que modifica datos existentes.,La palabra que completa la frase es Operación CRUD que modifica datos existentes..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/training/data-storage/room,crud,5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
421,Diseño y Desarrollo de Aplicaciones Móviles,3,SQLite y CRUD,CRUD,Básico,Completar,¿Qué concepto se define como: «CRUD»?,SOAP,JWT,Placa con sensores integrados usada en proyectos TinyML.,"Conjunto de operaciones Create, Read, Update y Delete sobre datos.",Layout flexible que posiciona vistas mediante restricciones entre elementos.,D,"Conjunto de operaciones Create, Read, Update y Delete sobre datos.","La definición corresponde a Conjunto de operaciones Create, Read, Update y Delete sobre datos..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/training/data-storage/room,"crud,sqlite",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
463,Diseño y Desarrollo de Aplicaciones Móviles,3,SQLite y CRUD,Delete,Intermedio,Definición,"Complete la frase: En SQLite y CRUD, ______ se relaciona con delete",Plataforma en la nube para alojar repositorios Git y colaborar en proyectos.,Update,Oposición al paso de la corriente eléctrica en un circuito.,Read,Operación CRUD que elimina datos existentes.,E,Operación CRUD que elimina datos existentes.,La palabra que completa la frase es Operación CRUD que elimina datos existentes..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/training/data-storage/room,crud,5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
389,Diseño y Desarrollo de Aplicaciones Móviles,2,GUI con XML,TextView,Intermedio,Relación,Marca la alternativa que mejor representa el concepto de Vista usada para mostrar texto en una interfaz Android..,Sistema de gestión de base de datos relacional usado en aplicaciones backend.,Método llamado cuando la Activity pierde el foco parcialmente.,Sistema de control de versiones distribuido para registrar cambios en archivos y código.,Lenguaje usado para estilos visuales de una interfaz web.,Vista usada para mostrar texto en una interfaz Android.,E,Vista usada para mostrar texto en una interfaz Android.,Vista usada para mostrar texto en una interfaz Android.: TextView,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,views",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
269,Diseño y Desarrollo de Aplicaciones Móviles,2,Ciclo de vida Activity,onResume,Básico,Relación,Marca la alternativa que mejor representa el concepto de Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario..,Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario.,Cantidad de corriente eléctrica que circula por un circuito.,onPause,"Framework web ligero para crear servidores, rutas y APIs con Node.js.",Comando que envía commits locales a un repositorio remoto.,A,Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario.,Método llamado cuando la Activity pasa al primer plano e interactúa con el usuario.: onResume,PIAD-525_CONTENIDO.pdf,https://developer.android.com/guide/components/activities/activity-lifecycle,"android,lifecycle",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
666,Diseño y Desarrollo de Aplicaciones Móviles,4,JSON Parsing,JSON,Básico,Relación,¿Qué término técnico se asocia mejor con la siguiente idea: json?,"Lenguaje de marcado usado en Android para definir layouts, vistas y recursos de interfaz.",Ejecución de modelos de machine learning en microcontroladores y dispositivos de muy bajo consumo.,Espacio donde se almacena el historial y archivos de un proyecto controlado por Git.,Capa completamente conectada usada comúnmente en redes neuronales.,Formato ligero de intercambio de datos común en APIs REST.,E,Formato ligero de intercambio de datos común en APIs REST.,El término técnico asociado es Formato ligero de intercambio de datos común en APIs REST..,PIAD-525_CONTENIDO.pdf,https://www.tensorflow.org/js,"json,api",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
300,Diseño y Desarrollo de Aplicaciones Móviles,2,Ciclo de vida Activity,onStart,Básico,Relación,"Para prepararte para el examen, relaciona la definición con el término correcto: onstart. (Tema: Ciclo de vida Activity)",Ataque que inserta código SQL malicioso en consultas de base de datos.,Método que se ejecuta cuando la Activity se vuelve visible para el usuario.,onCreate,Formato usado frecuentemente para guardar modelos Keras en entornos Python.,Placa de pruebas que permite montar circuitos sin soldadura.,B,Método que se ejecuta cuando la Activity se vuelve visible para el usuario.,Corresponde a Método que se ejecuta cuando la Activity se vuelve visible para el usuario.: onStart,PIAD-525_CONTENIDO.pdf,https://developer.android.com/guide/components/activities/activity-lifecycle,"android,lifecycle",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
621,Diseño y Desarrollo de Aplicaciones Móviles,4,Estado y arquitectura,ViewModel,Básico,Aplicación,¿Qué concepto se define como: «ViewModel»?,Plantilla inmutable usada para crear contenedores Docker.,Método HTTP usado para eliminar un recurso.,Componente que conserva y gestiona datos relacionados con la UI.,Método del ciclo de vida donde normalmente se inicializa la Activity y se carga el layout.,LiveData,C,Componente que conserva y gestiona datos relacionados con la UI.,La definición corresponde a Componente que conserva y gestiona datos relacionados con la UI..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/topic/libraries/architecture/viewmodel,"android,viewmodel",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
327,Diseño y Desarrollo de Aplicaciones Móviles,2,GUI con XML,Button,Intermedio,Reconocimiento,"En el módulo «Diseño y Desarrollo de Aplicaciones Móviles», ¿qué elemento se usa para button?",Vista que permite al usuario ejecutar una acción al presionarla.,Gson,Fragment,Dispositivo que ejecuta una acción física a partir de una señal de control.,Entorno de ejecución que permite usar JavaScript en el servidor.,A,Vista que permite al usuario ejecutar una acción al presionarla.,"Según el contenido del módulo, corresponde a Vista que permite al usuario ejecutar una acción al presionarla..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,views",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
76,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Fragment,Avanzado,Completar,¿Cuál de estos términos sería más probable como respuesta en una pregunta sobre Android Studio y Java?,Componente que conserva y gestiona datos relacionados con la UI.,Formato usado frecuentemente para guardar modelos Keras en entornos Python.,Activity,Parte reutilizable de la interfaz o comportamiento dentro de una Activity.,Herramienta moderna para crear y desarrollar proyectos frontend de forma rápida.,D,Parte reutilizable de la interfaz o comportamiento dentro de una Activity.,"El término más probable es Parte reutilizable de la interfaz o comportamiento dentro de una Activity., porque fragment",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,fragment",5,Alta,Banco inicial filtrado por temas de currícula y patrones de test
