id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,probabilidad_salida,prioridad,origen_refuerzo,tags,validado,criterio_depuracion
600001,Aplicaciones Móviles Android,,Android,IDE,Básico,Definición directa,"¿Qué concepto corresponde a esta definición: “Entorno oficial para crear, probar y compilar aplicaciones Android.”?",Método,UPDATE,Android Studio,Material Design,DELETE HTTP,C,Android Studio,Es el IDE oficial usado para desarrollar aplicaciones Android.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, IDE, Android Studio",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600002,Aplicaciones Móviles Android,,Android,Emulador,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Dispositivo virtual usado para probar una app sin un celular físico.”?,if,CRUD,Gson,Emulador Android,Layout,D,Emulador Android,Permite ejecutar y probar aplicaciones en una máquina virtual.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Emulador, Emulador Android",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600003,Aplicaciones Móviles Android,,Android,Compilación,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Herramienta que compila el proyecto y administra dependencias.”?,onResume,Gradle,Parsing JSON,Activity,Button,B,Gradle,"Gradle automatiza compilación, dependencias y construcción del APK/AAB.",PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Compilación, Gradle",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600004,Aplicaciones Móviles Android,,Android,Estructura,Básico,Definición directa,"¿Qué concepto corresponde a esta definición: “Archivo donde se declaran permisos, Activities y configuración principal de la app.”?",AndroidManifest.xml,String,Moshi,GET,Activity,A,AndroidManifest.xml,El manifiesto define componentes y permisos de la aplicación.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Estructura, AndroidManifest.xml",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600005,Aplicaciones Móviles Android,,Java,Texto,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Tipo de dato usado para almacenar cadenas de texto.”?,onDestroy,AlertDialog,String,API REST,onLongClick,C,String,String representa texto en Java.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Texto, String",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600006,Aplicaciones Móviles Android,,Java,Lógico,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Tipo de dato que solo puede ser verdadero o falso.”?,onStart,onClick,for,TextView,boolean,E,boolean,boolean almacena valores true o false.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Lógico, boolean",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600007,Aplicaciones Móviles Android,,Java,Condicional,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Estructura que ejecuta instrucciones si se cumple una condición.”?,onStop,XML,API REST,if,Gradle,D,if,if permite tomar decisiones según una condición.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Condicional, if",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600008,Aplicaciones Móviles Android,,Java,Selección,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Estructura que permite elegir entre varios casos posibles.”?,while,colors.xml,Layout,switch,SharedPreferences,D,switch,switch evalúa un valor y ejecuta un caso.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Selección, switch",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600009,Aplicaciones Móviles Android,,Java,Repetición,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Estructura usada para repetir instrucciones un número conocido de veces.”?,Gson,Android Studio,onClick,for,AlertDialog,D,for,for se usa para ciclos con contador.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Repetición, for",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600010,Aplicaciones Móviles Android,,Java,Repetición,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Estructura que repite instrucciones mientras una condición sea verdadera.”?,while,DELETE HTTP,INSERT,SQLite,Almacenamiento interno,A,while,while repite mientras la condición se cumpla.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Repetición, while",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600011,Aplicaciones Móviles Android,,Java,Métodos,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Bloque reutilizable de código que puede recibir parámetros y devolver un resultado.”?,Método,Emulador Android,Android App Bundle,Toast,onClick,A,Método,Un método agrupa instrucciones reutilizables.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, Java, Métodos, Método",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600012,Aplicaciones Móviles Android,,UI,Pantalla,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Componente que representa una pantalla completa de una app Android.”?,Activity,onStop,UPDATE,JSON,POST,A,Activity,Una Activity representa una pantalla de interacción.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, UI, Pantalla, Activity",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
600013,Aplicaciones Móviles Android,,UI,Fragmento,Básico,Definición directa,¿Qué concepto corresponde a esta definición: “Parte reutilizable de una interfaz que puede vivir dentro de una Activity.”?,Emulador Android,strings.xml,ImageView,Método,Fragment,E,Fragment,Un Fragment divide y reutiliza partes de la interfaz.,PIAD SENATI + temario validado,Alta,Alta,"Banco ampliado, validado y sin repeticiones fuertes","Aplicaciones Móviles Android, UI, Fragmento, Fragment",SI,Una pregunta por concepto; redacción corta; respuesta directa; sin variantes repetidas.
