id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,fuente_url,tags
1,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Intermedio,Aplicación,¿Qué concepto se define como: «Activity»?,Fragment,Sistema de automatización de compilación usado en proyectos Android para dependencias y builds.,Archivo JSON que describe la arquitectura y referencias de pesos de un modelo TensorFlow.js.,Componente de Android que representa una pantalla con la que el usuario interactúa.,Cliente HTTP usado como base para realizar solicitudes de red en Android.,D,Componente de Android que representa una pantalla con la que el usuario interactúa.,La definición corresponde a Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
2,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Aplicación,"En el tema de Android Studio y Java, ¿cuál es la opción correcta para: activity?",ViewModel,Drawable,Fragment,Componente de Android que representa una pantalla con la que el usuario interactúa.,Cliente HTTP usado como base para realizar solicitudes de red en Android.,D,Componente de Android que representa una pantalla con la que el usuario interactúa.,"En Android Studio y Java, el concepto correcto es Componente de Android que representa una pantalla con la que el usuario interactúa..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
3,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Avanzado,Relación,"Complete la frase: En Android Studio y Java, ______ se relaciona con activity",Función de Arduino para configurar un pin como entrada o salida.,Intent,Drawable,Componente de Android que representa una pantalla con la que el usuario interactúa.,Método que se ejecuta cuando la Activity se vuelve visible para el usuario.,D,Componente de Android que representa una pantalla con la que el usuario interactúa.,La palabra que completa la frase es Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
4,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Completar,¿Cuál de las siguientes opciones pertenece directamente al tema «Android Studio y Java» y cumple esta función: activity?,Diferencia de potencial eléctrico que impulsa la corriente en un circuito.,Intent,Bucle usado para repetir instrucciones un número definido de veces.,Mecanismo que controla solicitudes HTTP entre orígenes diferentes.,Componente de Android que representa una pantalla con la que el usuario interactúa.,E,Componente de Android que representa una pantalla con la que el usuario interactúa.,Componente de Android que representa una pantalla con la que el usuario interactúa. cumple esa función dentro de Android Studio y Java.,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
5,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Definición,"Si en un examen preguntan por activity, ¿qué alternativa debes marcar?",Ataque que inserta código SQL malicioso en consultas de base de datos.,Bloque de un notebook que ejecuta instrucciones de programación.,ViewModel,Componente de Android que representa una pantalla con la que el usuario interactúa.,Método usado para generar predicciones con un modelo entrenado.,D,Componente de Android que representa una pantalla con la que el usuario interactúa.,La alternativa correcta es Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
6,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Intermedio,Reconocimiento,¿Qué término técnico se asocia mejor con la siguiente idea: activity?,Método HTTP usado para reemplazar o actualizar un recurso completo.,Componente de Android que representa una pantalla con la que el usuario interactúa.,Coeficiente de determinación que indica proporción de variabilidad explicada por el modelo.,Ejecución de modelos de machine learning en microcontroladores y dispositivos de muy bajo consumo.,Button,B,Componente de Android que representa una pantalla con la que el usuario interactúa.,El término técnico asociado es Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
7,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Avanzado,Relación,"En el módulo «Diseño y Desarrollo de Aplicaciones Móviles», ¿qué elemento se usa para activity?",Error cuadrático medio que mide la desviación cuadrática promedio entre predicciones y valores reales.,"Plataforma para registrar, configurar y publicar aplicaciones Android en Google Play.",Intent,Fragment,Componente de Android que representa una pantalla con la que el usuario interactúa.,E,Componente de Android que representa una pantalla con la que el usuario interactúa.,"Según el contenido del módulo, corresponde a Componente de Android que representa una pantalla con la que el usuario interactúa..",PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
8,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Relación,¿Cuál es la respuesta correcta si se busca identificar: activity?,Intent,Modelo intermedio que extiende la nube hacia la red local para procesar datos cerca del borde.,Librería que facilita el manejo de formularios en React.,Componente de Android que representa una pantalla con la que el usuario interactúa.,Versión optimizada de TensorFlow para ejecutar modelos en dispositivos móviles o embebidos.,D,Componente de Android que representa una pantalla con la que el usuario interactúa.,La respuesta correcta es Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
9,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Reconocimiento,Marca la alternativa que mejor representa el concepto de Componente de Android que representa una pantalla con la que el usuario interactúa..,Unidad aislada y portable que ejecuta una aplicación con sus dependencias.,Componente de Android que representa una pantalla con la que el usuario interactúa.,Drawable,Operación CRUD que consulta o lee datos existentes.,Intent,B,Componente de Android que representa una pantalla con la que el usuario interactúa.,Componente de Android que representa una pantalla con la que el usuario interactúa.: Activity,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
10,Diseño y Desarrollo de Aplicaciones Móviles,1,Android Studio y Java,Activity,Básico,Relación,¿Cuál opción NO debe confundirse con otros términos cuando la pregunta describe: activity?,Button,Fragment,Mecanismo que controla solicitudes HTTP entre orígenes diferentes.,Componente de Android que representa una pantalla con la que el usuario interactúa.,Intent,D,Componente de Android que representa una pantalla con la que el usuario interactúa.,No debe confundirse: la descripción apunta a Componente de Android que representa una pantalla con la que el usuario interactúa..,PIAD-525_CONTENIDO.pdf,https://developer.android.com/,"android,componentes"
