id,modulo,semana,tema,subtema,nivel,tipo_pregunta,pregunta,opcion_a,opcion_b,opcion_c,opcion_d,opcion_e,respuesta_correcta,respuesta_texto,explicacion,fuente_base,probabilidad_salida,prioridad,origen_refuerzo,tags,validado,criterio_depuracion
800017,Aplicaciones Móviles Android,,API REST Android,Response,Básico,Pregunta probable de examen,"En Retrofit, ¿qué clase representa la respuesta recibida desde una API?",ConstraintLayout,tag,POST,colors.xml,Response,E,Response,"Response permite revisar código HTTP, estado de éxito y cuerpo de la respuesta.",Preguntas probables aportadas + PIAD SENATI,Muy alta,Alta,Agregado por coincidencia con exámenes probables; sin repetir conceptos existentes,"Aplicaciones Móviles Android, API REST Android, Response, Response",SI,Agregado solo si no repetía un concepto/respuesta ya presente en el módulo.
800018,Aplicaciones Móviles Android,,API REST Android,Service,Básico,Pregunta probable de examen,"En Retrofit, ¿qué componente define las llamadas o endpoints de la API?",Almacenamiento interno,Intent,Room,Interfaz Service,AVD,D,Interfaz Service,"La interfaz Service declara métodos anotados como @GET, @POST, @PUT o @DELETE.",Preguntas probables aportadas + PIAD SENATI,Muy alta,Alta,Agregado por coincidencia con exámenes probables; sin repetir conceptos existentes,"Aplicaciones Móviles Android, API REST Android, Service, Interfaz Service",SI,Agregado solo si no repetía un concepto/respuesta ya presente en el módulo.
500003,Aplicaciones Móviles Android,,Android,Compilación,Básico,Identificación,¿Cuál alternativa identifica correctamente la función de compilación?,Gradle,Layout,if,AndroidManifest.xml,Emulador Android,A,Gradle,"Gradle automatiza compilación, dependencias y construcción del APK/AAB.",PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Compilación, Gradle",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
500002,Aplicaciones Móviles Android,,Android,Emulador,Básico,Función o uso,¿Qué concepto se usa para dispositivo virtual usado para probar una app sin un celular físico?,Permisos Android,switch,Retrofit,Gson,Emulador Android,E,Emulador Android,Permite ejecutar y probar aplicaciones en una máquina virtual.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Emulador, Emulador Android",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
500004,Aplicaciones Móviles Android,,Android,Estructura,Básico,Aplicación directa,"Para una tarea de Android, ¿qué opción describe mejor archivo donde se declaran permisos, Activities y configuración principal de la app?",JSON,OkHttp,AndroidManifest.xml,PUT,SELECT,C,AndroidManifest.xml,El manifiesto define componentes y permisos de la aplicación.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, Estructura, AndroidManifest.xml",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
500001,Aplicaciones Móviles Android,,Android,IDE,Básico,Caso breve,"En una app Android, necesitas entorno oficial para crear, probar y compilar aplicaciones Android. ¿Qué opción corresponde?",Gson,Android Studio,POST,for,Gradle,B,Android Studio,Es el IDE oficial usado para desarrollar aplicaciones Android.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Android, IDE, Android Studio",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
500028,Aplicaciones Móviles Android,,Ciclo de vida,Destrucción,Básico,Identificación,¿Qué concepto se usa para método llamado antes de destruir una Activity?,JSON,TextView,onDestroy,DELETE HTTP,onPause,C,onDestroy,onDestroy libera recursos finales.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Destrucción, onDestroy",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
500027,Aplicaciones Móviles Android,,Ciclo de vida,Detención,Básico,Función o uso,"En una app Android, necesitas método llamado cuando la Activity deja de ser visible. ¿Qué opción corresponde?",INSERT,Método,colors.xml,LinearLayout,onStop,E,onStop,onStop ocurre cuando la pantalla ya no se ve.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Detención, onStop",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
500023,Aplicaciones Móviles Android,,Ciclo de vida,Inicio,Básico,Identificación,"En una evaluación sobre Ciclo de vida, ¿qué respuesta corresponde a inicio?",strings.xml,Método,SELECT,Moshi,onCreate,E,onCreate,onCreate inicializa la Activity.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Inicio, onCreate",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
500026,Aplicaciones Móviles Android,,Ciclo de vida,Pausa,Básico,Caso breve,¿Qué opción usarías en Android cuando necesitas método llamado cuando la Activity pierde el foco parcialmente?,ViewModel,SELECT,Moshi,onPause,String,D,onPause,onPause pausa tareas al perder foco.,PIAD SENATI + temario validado,Alta,Alta,"Banco V2 con preguntas variadas, concisas y sin repeticiones fuertes","Aplicaciones Móviles Android, Ciclo de vida, Pausa, onPause",SI,Mismo concepto validado; se varió la forma de preguntar para evitar patrón repetitivo.
